"id","single_category","title"
"389","11","Vetiver Andal Mala | Vetiver Mala (4 Ft)"
"390","12","Blackwood Mala with Silver Cap | Karungali Mala (54+1 Beads, 8 mm)"
"391","15","Sangu Bangles | Sangu Valayal"
"392","11","Vetiver Andal Mala | Vetiver Mala (3.5 Ft) "
"393","3","Lucky Donkey Photo Frame (10.6*12.8 Inch)"
"394","1","Blackwood Mala | Karungali Mala (108 Beads, 6 mm)"
"395","11","Vettiver Mala 2 feet ( Spl ) "
"396","1","Black Wood Mala with Copper String | Karungali Mala (108+1 Beads, 8mm)"
"397","21","Vellerukku Wicks, Banana Wicks, Lotus wicks"
"398","12","Blackwood Mala with Silver Cap | Karungali Mala (54+1 Beads, 6 mm)"
"399","1","Blackwood Bracelet with Silver Cap ( 27 Beads 10MM )"
"400","3","Swamy Balaji Laminated Photo Frame | Venkateswara Photo Frame (13.6*10.4 Inch)"
"401","16","Brass Ashtalakshmi kubera Lamp | Lakshmi Kubera Vilakku ( Model - 1 )"
"402","1","Blackwood Karuppanar Statue | Karungali Karuppanar Statue"
"403","1","Blackwood Vinayar  | Karungali Vinayagar Idol"
"404","2","Velleruku Vinayagar - One Face  ( Big Size ) "
"405","10","Brass Murugan Vel with Stand (6 inch)"
"406","1","Blackwood Perumal Statue | Karungali Perumal  Idol"
"407","1","Blackwood Lotus Vel | Karungali Kattai Vel (3 inch)"
"408","11","Vettiver Mala 0.5 Feet"
"409","6","Panchaloha Lion Face Bracelet | Lion Kappu  ( Model - 1 ) "
"410","4","Varahi Amman  Statue ( Model - 1 ) "
"411","1","Blackwood Varahi Amman Statue | Karungali Varahi Amman Idol"
"412","4","Diwali Special Puja Kit"
"413","12","6 Face Rudraksha with Silver Cap "
"414","4","Ayyappa Pooja Set "
"415","4","Lakshmi Kubera Statue | Kubera Lakshmi Statue - Gold (Large)"
"416","3","Kan Thiristi Vinayagar Laminated Photo Frame (13.5*10.3 inch)"
"417","4","Copper Plate"
"418","33","Mahalakshmi Laminated Photo Frame "
"419","14","Stell Murugan Vel with Stand (3 inch)"
"420","14","Brass Murugan Vel (24 inch)"
"421","16","Brass Shankh Chakra Wall Hanging Diya Set"
"422","1","Blackwood Vinayagar Keychain | Karungali Keychain"
"423","17","Panchaloga Design Ring  ( 60 ) "
"424","17","Panchaloga Round Ring ( 30 ) "
"425","17","panchaloga Ring  ( 120 ) "
"426","12","Blackwood Mala with Silver String | Karungali Mala (54 Beads, 6 mm)"
"427","17","Panchaloga Ring Stone ( Rasi Ring ) ( 250 )"
"428","32","Radhakrishana Photo frame (  27*18 inch)"
"429","12","Rudraksha Mala with Silver Caps (54 Beads, 10mm)"
"430","16","Panjakavya Vilakku Handmade lamp ( 24 pieces ) "
"431","17","Panchaloga Stone Ring ( 400 )"
"432","17","Panchaloga Stone Ring ( 80 )"
"433","7","Rudraksha Vilva Mala | Ruthratcha Vilva Mala  (108+108 Beads)"
"434","10","Brass Pooja Bell - Small Size  (Model -1 )"
"435","16","Brass Kamatchi Lamp - Big Size (Model - 1)"
"436","17","Panchaloga Ring Siva Siva ( 200 )"
"437","14","Murugar Statue | Murugan Silai  (  Color ) "
"438","4","Kubera Statue Big Size Model 1"
"439","4","Kubera Statue Big Size Mode - 2"
"440","2","kubera statue small size ( 3 inch )  ( 90 )"
"441","21","Festival Combo Offer"
"442","10","Brass Pooja Bell - Medium Size 2"
"443","10","Brass Pooja Bell - Medium Size - 1 ( H : 5 Inch ) "
"444","1","Blackwood Bracelet | Karungali Bracelet (6 mm)"
"445","4","Mantra Chanting Box"
"446","3","Buddha Photo Frame"
"447","2","Dashbord Vinayagr"
"448","4","Kubera Statue Small (  Dhasboard  ) ( 90 )"
"449","5","Chain with Om Dollar"
"450","17","Panchaloga Kappu Round  ( New Model 1 ) ( 250 )"
"451","12","Blackwood  Silver Bracelet 6mm (  14 Beads )"
"452","16","Panjakavya Vilakku Handmade lamp ( 12 pieces )"
"453","33","Varahi Amman Laminated Photo Frame (small)"
"454","18","Narmada Shivling Banalingam with Brass Jalahari Stand"
"455","22","uthupathi Box "
"456","22","sambrani cup agarbatti"
"457","22","sambrani Cone"
"458","1","Blackwood Stick with Silver Cap | Karungali Stick with Silver Cap (24 Inch)"
"459","17","Panchaloga Ring  ( 160 ) "
"460","4","kubera statue Small size  ( 1.5 inch ) (  60 )"
"461","2","Velleruku vinayar one Face Big size ( new ) "
"462","2","Velleruku Vinayagar Kattai ( New )"
"463","14","Brass Vel 3 feet Model -1"
"464","14","Brass Vel (18 INches)"
"465","17","Panchaloga Ring ( 550 )"
"466","22","Attar 3ml ( 35 )"
"467","1","Karungali Bracelet (8mm)"
"468","11","Vetiver Mala (0.5 Feet)"
"469","16","Sunflower stand lamp Model 4"
"470","22","Chola Pathi ( 75 )"
"471","22","Mathipal pathi ( 75 )"
"472","16","Piyali CupNanda  model 1 (  90 )"
"473","16","sunflower lamp  Stand  0"
"474","4","Vetiver Sun Mask + Sun Stone Mala (108 beads)"
"475","22","Murugan Staute Car Dhasboard  ( 120 )"
"476","23","Vesti Kavi Color"
"477","23","Vesti Green Color"
"478","23"," Yellow Color  Vesti And Towel"
"479","16","Sunflower Lamp Model 1"
"480","16","Sunflower Lamp Model 2"
"481","16","Sunflower Lamp Model 3"
"482","16","Piyali CupNanda  model 2  (  110  )"
"483","16","Piyali Cup Nanda model 3 ( 145 )"
"484","16","Piyali Cup Lamp Model 4 ( 170 ) "
"485","16","Piyali CUp Nanda Model 5 ( 200 ) "
"486","30","3D Horse Photo Frame Big Size "
"487","14","Murugan Small Size  (  80 ) "
"488","6","Lava Gemstone Beads Bracelet"
"489","6","7 Chakra Bracelet | Green Stone Bracelet"
"490","16","Glass Lamp ( 495 )"
"491","22","Attar 6ml ( 70)"
"492","15","1 Inch Sangu"
"493","22","Gomti chakara 1 pcs  ( 15 )"
"494","4","Cowrie Shells With Copper Plate (11+1)"
"495","12","Silver Bracelet ( 25 Gram ) ( 1850 )"
"496","8","Vastu Horse (Model 1)"
"497","8","Vastu Horse (Model 2)"
"498","8","Vasthu Double Fish | Golden Fish Figurine"
"499","22","Agarbathi Chandan 100GRM In long Bottle"
"500","1","Karungali 8MM Silver Bracelet  ( 11 Beads ) "
"501","12","Silver ( Laxmi, Vinayagar , Murugan  Car Dashboard ) ( size 3*3 ) "
"502","4","Akasa Garudan Kilangu "
"503","27","BUDDHA STATUE PURPLE COLOR ( Size 7*10 ) ( 900)"
"504","27","BUDDHA STATUE PINK COLOR ( Size 6 * 9 )  ( 1050 )"
"505","27","BUDDHA STATUE GREEN & BLue MULTI COLOR ( 7*9)  ( 700 ) "
"506","22","Color Vinayagar ( 3 Inch )  ( 150 )"
"507","22","Color Vinayagar ( Size 4.5 )  ( 220 ) "
"508","22","Color Vinayagar ( Size 2 inch )  (  50 )"
"509","22","Color Vinayagar Stone Design  ( size 2.5 )  ( 100 ) "
"510","14","Dhasboard Om Vel  ( Color Gold & Silver )  ( 100 ) "
"511","22","Car Dhasboard  Murugan Metal ( 100 )"
"512","22","Car Dhasboard Sulam Metal ( 75 )"
"513","2","Decorative Vinayagar Idol | Ganapati Idol - Green (2.5 * 1.5 inch)"
"514","28","Radium Vinayagar Model - 1"
"515","28","Radium VInayagar Model - 2"
"516","22","Gift  Photo Frame ( Vinayagar , Radha Krishan, Murugan )  (  230 ) "
"517","14","Murugan Statue Green Color  ( 550 ) "
"518","17","Panchaloga plain Kappu  ( 250 ) "
"519","28","Radium VInayagar Model - 3"
"520","28","Radium Elephant Medium"
"521","28","Radium Elephant Small"
"522","27","SET OF FOUR (4) SMALL BUDDHA - Model ( 1 )"
"523","27","SET OF FOUR (4) SMALL BUDDHA - Model ( 2 ) white color & Multicolor"
"524","27","Buthar ( 275 ) "
"525","14","Dhasboard Color Murugan small ( 120 ) "
"526","0","Silver Kumkum Simil"
"527","17","Panchaloha Annapoorani Small Size"
"528","7","8 Face Rudraksham Silver Cap "
"529","22","Lord Ganesh Idol in Acrylic Glass Box for Car Dashboard  ( 230 ) "
"530","22","Maahi Cup (  90 )"
"531","16","Camphor Lamp - Small (5 inch)"
"532","22","pacha karpuram  (   30 ) "
"533","22","vinayagar Idol with Backflow Fountain ( 275 )"
"534","22","ECO Agarbatti  ( 95 ) "
"535","10","Brass Plate  ( 160) "
"536","14","Car Dhasboard Ovel Shape Vinayagar   (  125 )"
"537","12","Sphatika Bracelet Silver  11 Beads  ( 600 ) "
"538","6",""
"539","1","Karungali Sengali Bracelet ( 8mm )"
"540","1","Devadaru Mala (10mm, 108 Beads)"
"541","1","Devadaru Mala (8mm, 108 Beads)"
"542","1","Devadaru Mala (6mm, 108 Beads)"
"543","10","Tiger Brass Plate  ( 100 ) "
"544","22","Pachan karpuram ( 20 ) "
"545","22","Pacha Karpuram (  50 )"
"546","30","7 Horse Running with Moon Light Photo Frame (13.7*19.7 inch)"
"547","30","7 Horse Running with Sunrise Laminated Photo Frame (13.5*19.4 inch) - Model 2"
"548","30","7 Horse Running with Sunrise Laminated Photo Frame (13.7*19.7 inch) - Model 3"
"549","30","7 Horse Normal PHoto Frame Big Size  (  1499 )"
"550","30","7 Horse RUnning Sun Rise Photo Frame  (  799 ) "
"551","3","Perumal Laminated Photo Frame  (  1499 ) "
"552","31","Murugan Family laminated Photo Frame"
"553","3","5 Sami Photo Frame Big Size 40 *12"
"554","3","5 sami photo frame Medium ( 28*10 )"
"555","3","5 Sami Photo Frame Small  ( 20 * 7 ) "
"556","3","5 Sami Photo Frame Color (  12*4 ) "
"557","3","5 Sami Photo Frame Gold Color ( 12 * 4 ) "
"558","3","Flower Art Photo Frame "
"559","3","Vinayagar Laminated Photo Frame  ( 26 *18 ) "
"560","30","7Horse Moon Mate Photoframe  ( Stone Design ) "
"561","30","7Horse Sunmate Photo Frame. ( Normal ) "
"562","31","Murugan with Peacock Laminated Photo Frame (13.5*10.3 inch)"
"563","31","Tiruchendur Murugan Laminated Photo Frame ( 13.5*10.2 inch) "
"564","31","Om Murugan Laminated Photo Frame  ( 13.8*10.5 inch ) "
"565","31","Palani Murugan Laminated Photo Frame ( 13.5*10.3 inch)"
"566","31","Tiruchendur Murugan Laminated Photo Frame - Color ( 13.3*10.8 inch)"
"567","31","Palani Murugan Laminated Photo Frame - Color ( 13.5*10.3 Inch)"
"568","31","Raja Alangaram Murugan Photo Frame - Color (13.3*10.7 inch)"
"569","30","7 Horse Moonmate Photo Frame (17.3*13.3 inch) "
"570","3","Tirupati Balaji Padmavati Lakshmi Photo Frame - 5D | Padmavathi Lakshmi Balaji Photo Frame (17.4*13.3 inch)"
"571","3","Vinayagar Photo Frame 5D (17.3*13.3 inch) - Model 1"
"572","14","Murugan Vel in Steel – Silver Color (4 inch)"
"573","14","Murugan Vel in Steel - Gold Color (4 inch)"
"574","14","Murugan Vel in Steel - Gold Color (6 inch)"
"575","8","Vastu Fish (Single)"
"576","8","Dhasboard Horse Standing  chain ( 625 ) "
"577","3","Arulmigu Arthanareeswarar Frame ( 9*7 ) ( 200 ) "
"578","3","Arulmigu Arthanareeswarar Photo Frame ( 14 * 10 ) "
"579","3","Arulmigu-Arthanareeswarar-Photo Frame ( 20 * 15 )"
"580","3","Buddha Photo Frame 5D (17.4*13.3 inch) - Model 1"
"581","3","Ram Darbar Laminated Photo Frame - 5D (17.3*13.3 inch) "
"582","3","Buddha Photo Frame 5D (17.2*13.2 inch) - Model - 2"
"583","3","Venkatachalapathy | Perumal | Tirupati Balaji Photo Frame - 5D (17.3*13.3 inch)"
"584","32","Radha Krishna Photo Frame 5D ( 16.9*13.3 inch) | Krishnan Radha Photo Frame (Model 1)"
"585","32","Baby Krishna Photo Frame | Little Krishna Photo Frame (17.3*13.4 inch)"
"586","32","Radha Krishna Photo Frame 5D ( 17.4*13.3 inch) | Krishnan Radha Photo Frame (Model 2)"
"587","3","Vinayagar Photo Frame 5D (17.3*13.4 inch) - Model 2"
"588","15","Sangu-keychain"
"589","22","Omshna.Camp.Jar 110-N"
"590","22","OMshna.Camp.Jar 52-N"
"591","22","OMshna-Camp-Jar 25-N"
"592","22","OmShanthi Shining- PDR 200GM"
"593","22","OMSan-Shin- PDR 50GM"
"594","22","Naivedya-Cup-Sambarani"
"595","22","Cooton-Wicks"
"596","22","Pooja-oil-500ml ( Pair ) "
"597","22","Pooja Oil - 500ml ( JAS )"
"598","22","Pushkarini-A.Bathi "
"599","30","Vastu 7 Horse Painting- 5D ( 17.6*13.3 inch)"
"600","30","7Horse-SunMate Photo Frame ( 370 ) "
"601","33","Kubera Lakshmi Photo Frame | Kubera Laxmi Photo ( 12.7*10.5 inch) "
"602","3","Karpaga Vinayagar Color Photo Frame  ( 12.6*10.6 Inch )"
"603","3","Dhatchanamoorthy Photo Frame | Dhatchinamoorthy Photo Frame (13.6*10.3 inch) "
"604","3","Venkatachalapathy | Perumal | Tirupati Balaji Photo Frame ( 13.6*10.3 inch )"
"605","3","Vishnu Photo Frame  ( 12 *9 )"
"606","33","Saraswathi Laminated Photo Frame (13.6*10.4 inch )"
"607","3","Pillaiyarpatti Karpaga Vinayagar Photo Frame ( 13.7*10.4 inch)"
"608","3","Rama Sita Kalyanam God Photo Frame  Color ( 12*9 )"
"609","3","Kan Drishti Vinayagar Photo Frame - Color ( 13.3*10.7 inch)"
"610","33","Ashta Lakshmi Kubera Photo Frame - Color (13.3*10.9 inch) "
"611","3","Sai Baba Photo Frame - Color (13.3*10.8 inch)"
"612","33","Meenakshi Amman Photo Frame - Color (13.3*10.8 inch)"
"613","3","Kan Thirusti Vinayagar with Shree Haridra Ganesh Siddhi Yantra Photo Frame (13.7*10.3 inch)"
"614","3","Hanuman Photo Frame - Color (13.3*10.8 inch)"
"615","33","Ashta Lakshmi Kubera Photo Frame ( 13.6*10.3 inch) "
"616","3","Swami Ramalinga Adigalar Photo Frame | Vallalar Photo (13.3*10.8 inch)"
"617","9","Shri Sampurna Laxmi Ganesh Yantra | Shri Sampoorna Laxmi Ganesh Yantra ( 11*11 inch)"
"618","3","5 Sami Photo Frame ( 600 )"
"619","4","A011 Varahi Amman Color 7 Inch "
"620","22","B047 Ramar Statue 7 Inch"
"621","27","B024 Balaji 12 Inch "
"622","27","B004 Buddha 10 Inch"
"623","14","B042 GOld Murugan 10 Inch"
"624","27","B022 Balaji 6 Inch"
"625","14","B041 GOld Murugan 6 Inch"
"626","27","Buddha-white-color ( 280 )"
"627","4","Sai-Baba-Color(500)"
"628","14","Wood-Murugan ( 400 )"
"629","14","Murugan-Color-Green ( 200 )"
"630","22","Wood-Vinayagar ( 400 ) "
"631","27","Buddha-Purpule-Color ( 250 ) "
"632","27","Buddha-Brown-Color ( 160 )"
"633","22","Isha Sivan ( 100 ) "
"634","3","Product Name"
"635","22","Tapasya-Sambrani-Cup ( 75 )"
"636","27","Baby Buddha Statue 4 Set ( 320 )"
"637","22","Dashboard-Glass-Lingam multicolor ( 200 )"
"638","22","Dashboard-Glass-Nandhi multicolor (110)"
"639","10","Brass-Plate-1 (80)"
"640","10","BN Plate - 6 ( 80 )"
"641","10","Tiger-Sargam-Plate-( 85)"
"642","17","Panchaloga-Navaratana-stone-Ring"
"643","17","Panchaloga Tirusul Locket ( 120 )"
"644","17","Panchaloga-Varahi-Amman Statue"
"645","17","Panchaloga-Baby-Krishna Statue"
"646","17","Panchaloga-Maha-Meru-Yantra"
"647","30","7 Horse Running with Sunrise Laminated Photo Frame (13.7*19.7 inch) - Model 4"
"648","30","7 Horse Running with Sunrise Laminated Photo Frame (13.8*19.7 inch) - Model 5"
"649","30","7 Horse Running with Sunrise Laminated Photo Frame (13.7*19.6 inch) - Model 6"
"650","30","7 Horse Running with Sunrise Laminated Photo Frame (13.7*19.7 inch) - Model 7"
"651","30","7 Horse Running with Sunrise Laminated Photo Frame (13.7*19.7 inch) - Model 8"
"652","16","Brass  Raja Ashtalakshmi kubera Lamp | Lakshmi Kubera Vilakku ( Model - 2 )"
"653","17","Panchaloga Cutting  Bangles ( 300 ) "
"654","22","A1 Brand Pal Sambarani ( Black, Sandal ) "
"655","22","Aalaayaa Brand Plain Sandal Cup"
"656","22","Aalaayaa Brand Sambarani Filling Cup"
"657","6","Panchaloha Om Vel Kappu (Flat)"
"658","6","Panchaloha Om Vel Kappu with Enamel | Panchaloga Om Vel Bracelet"
"659","6","Panchaloha Kappu | Impon Kappu"
"660","6","Panchaloha Om Vel Bracelet | Om Vel Kappu (Small)"
"661","21","Akshaya Tritiya Things  ( Laxmi Lamination Photo Frame , Kubera Lamp , Laxmi Kubera Coin )"
"662","24","Panchaloga-Hanuman -Statue"
"663","24","Panchaloga-Sulam ( 8 Inch ) "
"664","24","Panchaloda-Lingam-Nandhi Statue"
"665","24","Panchaloga Varahi Amman With Arch"
"666","24","Panchaloga Pradosha Nayagar Statue"
"667","24","Panchaloga vinayagar Statue"
"668","24","Panjaloga Laxmi Statue"
"669","24","Panchaloha Pratyangira Devi Statue"
"670","24","Panchaloha Balambika Devi Statue"
"671","24","Panchaloha Ayyappa Statue"
"672","24","Panchaloha Annapoorani Statue"
"673","24","Panchaloga-Aruval-Dollar"
"674","24","Panchalaga Amman Dollar"
"675","24","Panchaloga Om Dollar With Enamel ( BIg Size ) "
"676","24","Panchaloga Om Dollar Enamel ( Small Size ) "
"677","24","Panchaloga Vinayagar Dollar"
"678","25","Panchaloga Karpagavinayagar Ring"
"679","25","panchaloga Head Vinayagar Ring"
"680","25","Panchaloga-Ganavel Ring"
"681","25","Panchaloga OM Ring  ( medium ) "
"682","25","Panchaloga Om Ring ( Small ) "
"683","25","Panchaloga Siva Siva Ring"
"684","25","Panchaloga-Oval-ring ( Model 1  ) "
"685","25","Panchaloga-Oval-Ring ( Model - 2 ) "
"686","25","Panchaloga Sivan Side Sulam Ring"
"687","25","Panchaloha-Enamel-pattai Ring"
"688","25","Panchalogam-Prathosam-Ring"
"689","25","Panchaloga-Vilva-Ring"
"690","25","Panchaloga-Annamalaiyar-Ring"
"691","25","Panchaloha-Bhairava-Ring"
"692","25","Panchaloga-Varahi-Ring"
"693","25","Panchaloga-Perumal-Ring"
"694","25","Panchaloga-Head-Perumal-Ring"
"695","25","Panchaloha-Narasimhar-Ring"
"696","25","Panchaloga-Kamachi-Ring"
"697","25","Panchaloga-Snaku-Chakara-Nama-Ring"
"698","25","Panchaloga-Sulam-Ring"
"699","25","Panchaloga-Avudaiyar-Ring"
"700","25","Panchaloha-Karuppasamy-Ring"
"701","25","Panchaloga-J.1.Stone-Ring"
"702","25","Panchaloga-M.1.Stone-Ring"
"703","25","panchaloga-L.1.Ring"
"704","25","Panchaloga-Sangu-Ring"
"705","17","Panchaloha Shankh Pendant"
"706","25","Panchaloga-Arthanareeswarar -Dollar ( Big ) "
"707","25","Panchaloga-Arthanareeswarar -Dollar ( Small ) "
"708","25","Panchaloga-Vel-Dollar ( Small ) "
"709","24","Panchaloga-Krisha-Statue"
"710","28","Product test uma 00"
"711","28","Product test uma 01"
"712","27","Car Dhasboard Spring-Buddha & Ganesha"
"713","22","Show Pcs black colour"
"714","22","Show-pcs-Black-color"
"715","4","Kubera-Statue-Multicolor ( small )"
"716","27","Buddha-4Set Model 3"
"717","12","Rudraksha-Mala-silver(108 Beads )"
"718","12","Rudraksha Mala with Silver Caps (108 Beads)"
"719","16","Annam-Lamp-with-Chain"
"720","7","Rudraksha Mala with White Metal Caps (54 Beads, 8 mm)"
"721","4","Sai-Baba-White ( 16 Inch ) "
"722","28","Product test uma 02"
"723","13","A017 Buddha 12 Inch ( White ) "
"724","13","B005 Buddha 12 Inch ( Black ) "
"725","13","B010 Buddha 10 Inch ( Face  )"
"726","13","B008 Hand Buddha 5 Inch"
"727","13","B016 Ganesh 10 Inch"
"728","4","B035 Gold Kuberar 5Inch"
"729","4","B037 Kuberarlakshmi 5 Inch ( Medium ) "
"730","14","B043 Gold-Murugan-12Inch"
"731","16","Camphor Lamp - Big (7 inch)"
"732","33","Vasthu Graha Lakshmi Laminated Photo Frame (13.4*10.8 Inch) - Model 1"
"733","16","Brass Deepalakshmi Lamp | Brass Paavai Vilakku ( Big Size ) "
"734","5","Tulsi Mala Chain | Tulasi Mala (108 Beads, 8mm)"
"735","5","White Tulsi Mala | Tulasi Malai (108 Beads 5-6mm) ( Model 2) "
"736","5","White Tulsi Mala | Tulasi Malai (108 Beads, 7mm) ( Model 3 ) "
"737","0","testdata"
"738","33","Lakshmi Photo Frame | Mahalakshmi Photo Frame - Color ( 12.6*10.7 Inch) "
"739","33","Kamatchi Amman Photo Frame | Kamakshi Amman Photo Frame - Color (12.7*10.5 inch)"
"740","33","Sri Lalitha Thiripurasundari Laminated Photo Frame - Color (12.6*10.6 inch)"
"741","3","Ayyappan Swamy Laminated Photo Frame - Color ( 12.6*10.5 inch)"
"742","3","Raghavendra Swamy Laminated Photo Frame - Color (13.4*10.8 inch)"
"743","33","Bala Tripura Sundari Laminated Photo Frame - Color (12.4*10.6 inch)"
"744","3","Tirupati Balaji Padmavati Lakshmi Photo Frame | Padmavathi Lakshmi Balaji Photo Frame - Color (12.6*10.6 inch) - Model 1"
"745","3","Balaji with Lakshmi Photo Frame | Lakshmi Venkateswara Photo Frame - Color (12.7*10.6 inch)"
"746","33","Vasthu Graha Lakshmi Laminated Photo Frame - Color (13.3*10.7 inch) - Model 2"
"747","0",""
"748","0",""
"749","0",""
"750","22","Varshini Sambrani Cups"
"751","22","Dasangam Cone"
"752","22","Dasangam Powder 50 Gm"
"753","22","Sandal Bathi 100 Gm"
"754","22","JK Black Bathi 100 Gm"
"755","22","Javathu Bathi 100 Gm"
"756","0",""
"757","0",""
"758","0",""
"759","0",""
"760","0",""
"761","28","Javathu Bathi 100 Gm test"
"762","22","Haritha Bathi 100 Gm"
"763","22","Thalampoo Bathi 80 Gm"
"764","22","Champa Bathi"
"765","22","G.N.Mallegai Bathi"
"766","22","Sandal Bathi 110 Gm"
"767","22","Lavender Dhoop"
"768","22","Sugthna Dhoop"
"769","22","Sandal Cone"
"770","22","Bharth Sambrani 50 Gm"
"771","22","Sambrani  Powder 50 Gm"
"772","22","Dasanna Bathi 20 St"
"773","22","Dasanna Bathi 50 St"
"774","22","G.N.Bathi"
"775","22","Javadhu Powder 2 GM"
"776","22","Javadhu Powder 5 GM"
"777","22","Rose Paneer ( Bero ) 1 Litre"
"778","22","Rose Panner ( Bero ) 200Ml"
"779","22","Rose Panner ( Bero ) 100Ml"
"780","22","No.11 100"
"781","22","No.10-50"
"782","22","Tharpai Aragaja"
"783","22","Thalampoo Kumkum 40Gm"
"784","22","Thalampoo Kumkum 30Gm"
"785","10","BRASS Arthi Plate PGT NO.4"
"786","10","BRASS Arthi Plate PGT NO.5"
"787","10","BRASS Arthi Plate PGT NO.6"
"788","10","BRASS LOTUS BOWL PATHI SATND AG NO.0"
"789","10","BRASS LOTUS BOWL PATHI SATND AG NO.1"
"790","10","BRASS LOTUS BOWL PATHI SATND AG NO.2"
"791","10","BRASS AGARPATHI STAND WITH PLATE ICC N0.1"
"792","10","BRASS AGARPATHI STAND WITH PLATE ICC N0.2"
"793","10","ICC BRASS BATHI PIPE HEAVY"
"794","25","Panchaloga Mixed Dollar  ( 200 ) "
"795","25","Panchaloga Mixed Dolla ( 300 ) "
"796","25","Panchaloga Mixed Ring  (  250 ) "
"797","25","panchaloga Mixed Ring (  400 ) "
"798","25","Panchaloga Mixed Ring ( 160 ) "
"799","25","Panchaloga Mixed Ring ( 80 ) "
"800","24","Panchaloga Annamalaiyar UnnamalaiAmman"
"801","24","Panchaloha Kala Bairavar"
"802","24","Panchaloga Kamachi"
"803","24","Panchaloga Meenachi"
"804","24","Panchaloga Narasimar With Laxmi"
"805","24","panchaloga Vinayagar Small"
"806","24","Panchaloga Muniyavar"
"807","24","Panchaloha Bathrakaliamman"
"808","24","Panchaloga Lingam  Nandhi"
"809","24","Panchaloha Trishul With Stand"
"810","24","Panchaloga Vel Bandhar"
"811","24","Panchaloga Vel With Enamel"
"812","24","Panchaloga Vishnu Perumal"
"813","24","Panchaloga Murugan Statue"
"814","23","Drak Kaavi Towel"
"815","23","Light Kaavi Towel"
"816","23","Sandal Towel"
"817","23","Red Towel"
"818","23","Drak Blue Towel"
"819","23","Green Towel"
"820","23","Orange Towel"
"821","23","Orange Dhoti "
"822","23","Sandal Dhoti"
"823","23","Red Dhoti"
"824","23","Green Dhoti"
"825","23","Light Kaavi Dhoti"
"826","23","Drak Kaavi 1"
"827","23","Drak Kaavi 2"
"828","23","Drak Kaavi 3"
"829","23","Drak Kaavi Big Border"
"830","23","9*5 Design Border With Big"
"831","23","9*5 Silk Border"
"832","23","Blue Dhoti"
"833","23","Cotton  Vesti - 2 mtrs - Black"
"834","12","Devadaru Mala 54 Beads Silver Cap ( 8mm )"
"835","22","Flower Pot ( 250 ) "
"836","27","A021 Lotus Buddha White Color ( 5 inch ) Model 1"
"837","27","A021 Lotus Buddha White Color ( 5 inch ) Model 2"
"838","22","Wooden Kapoor Dhani "
"839","11","Vettiver Mala 2.5 Feet ( Special Mala ) "
"840","22","Attar 8ml ( 75 )"
"841","3","Lord Shiva Parvati, Ganesha and Murugan with Nandi Laminated Photo Frame - Color (12.6*10.6 inch)"
"842","3","Kanchi Maha Periyavar Photo Frame | Chandrasekharendra Saraswati Swami Photo - Color ( 13.4*11 Inch)"
"843","33","Laxmi Laminated Photo Frame ( 12*9 )"
"844","3","Adi Shankaracharya Photo Frame - Color (13.3*10.6 inch)"
"845","3","Sri Maha Kala Bhairavar Photo Frame - Color (13.3*10.8 inch)"
"846","3","Sri  Bhairava Photo Frame - Color (13.3*10.7 inch)"
"847","31","Raja Alangaram Murugan Photo Frame - Color (13.3*10.8 inch) - Model 1"
"848","3","Lord Guruvayurappan Photo Frame - Color (13.3*10.7 Inch)"
"849","3","Lord Ganesh with Lakshmi and Saraswati Laminated Photo Frame - Color  (13.3*10.8 inch) "
"850","3","Vinayagar Laminated Photo Frame - Color (13.3*10.7 inch)"
"851","3","Lord Kuber Laminated Photo Frame - Color (13.3*10.8 inch) "
"852","3","Lord Ganesh with Lakshmi and Saraswati Laminated Photo Frame - Color (10.7*13.3 Inch)"
"853","3","Lord Buddha Laminated Photo Frame (13.7*10.3 inch)"
"854","32","Baby Krishna Laminated Photo Frame | Little Krishna Photo (13.6*10.4 inch)"
"855","33","Om Shakthi Amman | Melmaruvathur Amman Photo Frame (13.5*10.3 inch)"
"856","3","Vinayagar Laminated Photo Frame - (13.3*10.8 inch)"
"857","33","Durga Amman with Tiger Laminated Photo Frame (13.6*10.2 inch)"
"858","3","Lord Shiva Parvati Ganesha and Murugan Laminated Photo Frame (14*10 inch) - Model 1"
"859","33","Meenakshi Amman Photo Frame (13.8*10.6 inch)"
"860","33","Kamatchi Amman Photo Frame | Kamakshi Amman Photo Frame (14*10 inch)"
"861","33","Durga Amman with Lion Laminated Photo Frame (14*10.5 inch)"
"862","3","Shivan Parvathi Laminated Photo Frame (13.7*10 inch)"
"863","3","Shivan Laminated Photo Frame (13.7*10.3 inch)"
"864","3","Narasimhar with Lakshmi Laminated Photo Frame (13.8*10.5 inch)"
"865","33","Lakshmi With Peacock Laminated Photo Frame (13.8*10.5 inch)"
"866","33","Lakshmi with Elephant Laminated Photo Frame (13.8*10.6 inch)"
"867","33","Laxmi with elephant Laminated Photo Frame 12*9"
"868","3","5 Sami Color Photo Frame 26*9"
"869","3","Ram Dharbar Laminated Photo Frame ( 12*9 )"
"870","22","Lata Kasturi"
"871","22","GoroChan"
"872","22","Eco Chola Pathi"
"873","12","Silver Blackwood Bracelet 14 Beads ( 6mm)"
"874","12","Silver Blackwood Bracelet 16 Beads ( 6mm )"
"875","12","Silver-Blackwood Bracelet 17 Beads ( 6mm )"
"876","12","Silver- Blackwood Bracelet 12 Beads ( 8mm)"
